Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_2_Replicate_28	-20177.05	40362.1	40194.96	1101783.03	0.1283,0.0856,0.0925,0.1003
three_epoch	Round_2_Replicate_29	-18042.62	36093.24	33693.36	269345.64	0.5331,0.3766,0.1151,0.0339
three_epoch	Round_2_Replicate_30	-24449.37	48906.74	46341.8	456249.13	2.13,0.2832,0.0714,0.3312
three_epoch	Round_3_Replicate_1	-4935.21	9878.42	9551.52	270153.76	1.2553,0.0804,0.0853,0.0109
three_epoch	Round_3_Replicate_2	-8597.65	17203.3	16693.27	285932.19	0.6733,0.1658,0.1601,0.0184
three_epoch	Round_3_Replicate_3	-8997.8	18003.6	17711.57	315776.12	0.6358,0.1424,0.2562,0.0187
three_epoch	Round_3_Replicate_4	-20475.26	40958.52	40432.56	1503013.29	0.4556,0.0686,0.2726,0.1341
three_epoch	Round_3_Replicate_5	-5579.24	11166.48	10821.76	272449.28	1.6029,0.1099,0.064,0.017
three_epoch	Round_3_Replicate_6	-9828.12	19664.24	18888.91	274424.43	0.6613,0.2328,0.037,0.0353
three_epoch	Round_3_Replicate_7	-20491.11	40990.22	40452.76	3193811.75	3.723,0.0323,0.0747,0.1006
three_epoch	Round_3_Replicate_8	-7154.58	14317.16	14068.62	301990.21	0.6534,0.0898,0.1578,0.0109
three_epoch	Round_3_Replicate_9	-12837.79	25683.58	24251.64	262858.31	1.4746,0.3188,0.1564,0.073
three_epoch	Round_3_Replicate_10	-11695.83	23399.66	22396.01	289211.46	0.8263,0.2549,0.4358,0.0412
three_epoch	Round_3_Replicate_11	-14974.72	29957.44	28360.75	275313.96	0.5591,0.3347,0.0769,0.0494
three_epoch	Round_3_Replicate_12	-8544.8	17097.6	16357.77	275206.59	0.9077,0.183,0.4576,0.0236
three_epoch	Round_3_Replicate_13	-9287.29	18582.58	17615.43	268168.66	0.8174,0.1479,0.2883,0.0128
three_epoch	Round_3_Replicate_14	-14563.72	29135.44	27959.27	287835.18	0.6066,0.3138,0.088,0.0611
three_epoch	Round_3_Replicate_15	-20228.23	40464.46	40187.66	1435926.84	2.2333,0.0679,0.2761,0.1563
three_epoch	Round_3_Replicate_16	-20197.54	40403.08	40190.11	1619175.31	2.7345,0.0591,0.3209,0.1453
three_epoch	Round_3_Replicate_17	-8550.85	17109.7	16625.8	280694.69	0.3644,0.1921,0.0252,0.0239
three_epoch	Round_3_Replicate_18	-4976.78	9961.56	9610.36	268122.1	1.5863,0.0855,0.0765,0.0122
three_epoch	Round_3_Replicate_19	-9041.41	18090.82	17815.42	332170.42	0.5365,0.0874,0.2088,0.0103
three_epoch	Round_3_Replicate_20	-10258.58	20525.16	19893.07	274218.08	1.2918,0.2501,0.2789,0.0596
three_epoch	Round_3_Replicate_21	-5180.14	10368.28	10059.67	273815.7	1.3067,0.0859,0.034,0.0117
three_epoch	Round_3_Replicate_22	-3742.52	7493.04	7246.25	239605.11	2.5516,0.0992,0.4336,0.0219
three_epoch	Round_3_Replicate_23	-6755.31	13518.62	13082.09	270894.5	1.5572,0.1605,0.1209,0.0292
three_epoch	Round_3_Replicate_24	-13091.2	26190.4	25804.75	316178.26	0.3571,0.2294,0.0893,0.0275
three_epoch	Round_3_Replicate_25	-11526.08	23060.16	22811.4	343957.69	0.7111,0.1804,0.461,0.039
three_epoch	Round_3_Replicate_26	-18337.19	36682.38	34632.08	277951.85	1.1442,0.3914,0.1725,0.1247
three_epoch	Round_3_Replicate_27	-24787.17	49582.34	45874.22	274547.46	1.1302,0.4805,0.0613,0.1887
three_epoch	Round_3_Replicate_28	-9927.67	19863.34	19358.04	296829.64	0.7999,0.2056,0.3056,0.0343
three_epoch	Round_3_Replicate_29	-15657.76	31323.52	30375.21	303157.11	0.4169,0.3082,0.0624,0.0653
three_epoch	Round_3_Replicate_30	-4418.91	8845.82	8570.72	271277.85	4.0264,0.065,0.0597,0.0105
three_epoch	Round_3_Replicate_31	-7575.32	15158.64	14892.72	292926.45	0.8839,0.1398,0.2194,0.0231
three_epoch	Round_3_Replicate_32	-11499.43	23006.86	22505.5	294574.98	0.3582,0.2416,0.0327,0.041
three_epoch	Round_3_Replicate_33	-5534.05	11076.1	10665.19	267796.08	4.8384,0.1026,0.0355,0.0152
three_epoch	Round_3_Replicate_34	-4353.49	8714.98	8445.56	262427.14	1.5432,0.0879,0.2694,0.0151
three_epoch	Round_3_Replicate_35	-16346.7	32701.4	30377.38	255216.25	3.9751,0.3894,0.087,0.1025
three_epoch	Round_3_Replicate_36	-5289.72	10587.44	10311.18	276192.17	1.3389,0.0959,0.0959,0.0152
three_epoch	Round_3_Replicate_37	-8104.31	16216.62	15575.41	271515.57	0.6228,0.1709,0.0633,0.0179
three_epoch	Round_3_Replicate_38	-7162.43	14332.86	13881.85	274410.34	1.6347,0.1639,0.0527,0.0283
three_epoch	Round_3_Replicate_39	-4045.38	8098.76	7770.69	254066.97	2.4671,0.0905,0.2197,0.0169
three_epoch	Round_3_Replicate_40	-5563.58	11135.16	10850.25	279523.74	0.8038,0.0862,0.0912,0.0104
