Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_schange	Round_4_Replicate_44	-117350.51	234717.02	232912.56	103421.58	4.8494,22.22,0.134,0.1142,4.9763,2.2828,2.9781,0.485
sec_contact_schange	Round_4_Replicate_45	-139985.7	279987.4	269404.78	97420.87	2.1022,27.4611,0.0946,0.102,6.8596,1.412,4.283,0.5134
sec_contact_schange	Round_4_Replicate_46	-109480.46	218976.92	199065.37	98627.2	1.7573,29.6904,0.1727,0.1456,3.1626,1.2336,3.0281,0.5359
sec_contact_schange	Round_4_Replicate_47	-110462.72	220941.44	207196.62	144058.87	4.2483,24.3974,0.0979,0.0753,5.5945,3.1945,1.8904,0.379
sec_contact_schange	Round_4_Replicate_48	-99716.73	199449.46	192999.14	81112.31	4.8619,22.4738,0.0906,0.0842,6.6439,1.0564,4.1734,0.3255
sec_contact_schange	Round_4_Replicate_49	-97660.71	195337.42	197102.09	72800.31	2.1178,23.6052,0.1577,0.0916,4.0519,1.7209,4.0644,0.2885
sec_contact_schange	Round_4_Replicate_50	-90889.38	181794.76	171403.45	138627.24	1.4253,18.7533,0.1148,0.0528,3.9777,3.255,1.8939,0.2138
sec_contact_schange	Round_4_Replicate_51	-101894.37	203804.74	206235.45	113608.63	1.4269,23.3121,0.0838,0.0618,8.5949,2.4139,2.4005,0.2266
sec_contact_schange	Round_4_Replicate_52	-94430.48	188876.96	183031.17	88193.05	4.1591,23.2349,0.0608,0.0562,9.1225,1.1206,3.4587,0.208
sec_contact_schange	Round_4_Replicate_53	-102544.31	205104.62	192794.21	77554.76	1.8676,12.0071,0.1328,0.1043,4.5075,1.4568,4.7139,0.3064
sec_contact_schange	Round_4_Replicate_54	-95534.77	191085.54	184426.46	88748.77	3.5887,20.0711,0.0612,0.0559,8.1223,1.0489,3.3688,0.1931
sec_contact_schange	Round_4_Replicate_55	-115417.98	230851.96	226652.86	111113.72	2.5363,28.6645,0.1507,0.0985,4.2216,3.3988,2.7758,0.4252
sec_contact_schange	Round_4_Replicate_56	-135528.82	271073.64	246868.85	168508.76	2.8887,24.7779,0.1095,0.1472,4.1018,1.1017,1.1363,0.5354
sec_contact_schange	Round_4_Replicate_57	-107101.98	214219.96	229416.49	93718.27	1.5319,15.9364,0.1285,0.0586,4.9309,0.9703,2.7293,0.1876
sec_contact_schange	Round_4_Replicate_58	-193255.01	386526.02	485976.91	102113.38	2.3706,21.9022,0.1209,0.1218,8.5507,2.67,3.8104,0.5553
sec_contact_schange	Round_4_Replicate_59	-141117.39	282250.78	274123.97	155512.69	3.3979,14.356,0.1493,0.1169,4.1058,3.7002,1.7443,0.5518
sec_contact_schange	Round_4_Replicate_60	-168377.74	336771.48	339932.1	151354.13	1.4155,17.6043,0.0609,0.1052,11.2379,2.5781,1.465,0.2635
sec_contact_schange	Round_4_Replicate_61	-87381.92	174779.84	166509.52	85807.85	2.223,18.1632,0.1163,0.0545,4.2461,3.4824,4.0444,0.2242
sec_contact_schange	Round_4_Replicate_62	-115859.67	231735.34	212193.82	161935.38	2.6427,24.3395,0.0942,0.0838,5.7896,2.7857,1.5614,0.3861
sec_contact_schange	Round_4_Replicate_63	-95067.98	190151.96	178812.42	133627.69	2.0638,20.8759,0.0856,0.0592,6.1085,2.4999,1.9501,0.2415
sec_contact_schange	Round_4_Replicate_64	-100908.11	201832.22	193239.98	82211.16	1.6799,17.4833,0.0902,0.0732,7.0612,2.0844,4.2248,0.2483
sec_contact_schange	Round_4_Replicate_65	-105370.2	210756.4	196724.3	163706.26	2.1636,13.3606,0.1567,0.1015,3.1327,1.687,1.1841,0.3771
sec_contact_schange	Round_4_Replicate_66	-104192.93	208401.86	192204.37	135682.93	3.6787,23.8293,0.1737,0.1211,2.8496,1.994,1.5837,0.4813
sec_contact_schange	Round_4_Replicate_67	-126270.04	252556.08	232732.98	155307.51	1.4575,25.5085,0.1099,0.095,5.1449,2.3257,1.8905,0.4626
sec_contact_schange	Round_4_Replicate_68	-106169.01	212354.02	221081.42	84962.81	4.5307,15.9011,0.0974,0.0785,5.3115,3.3769,3.2827,0.2279
sec_contact_schange	Round_4_Replicate_69	-88375.02	176766.04	168051.97	77341.01	3.0845,12.4827,0.1313,0.0756,3.6013,2.4527,4.2892,0.2431
sec_contact_schange	Round_4_Replicate_70	-121314.76	242645.52	222255.19	149200.41	2.3791,18.2602,0.1243,0.107,4.4522,2.7413,1.8343,0.4585
sec_contact_schange	Round_4_Replicate_71	-96765.19	193546.38	190375.09	109836.42	2.2982,25.2543,0.0894,0.0624,6.1085,1.344,2.3875,0.2412
sec_contact_schange	Round_4_Replicate_72	-147483.09	294982.18	279500.85	190462.92	2.6212,21.8935,0.0948,0.1059,6.4817,1.7922,1.3702,0.5811
