Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_4_Replicate_86	-5636.03	11280.06	10699.63	156583.74	14.4688,0.0181,11.9964,0.0236
three_epoch	Round_4_Replicate_87	-7275.99	14559.98	13718.31	86550.15	12.6303,0.1214,27.1893,0.1225
three_epoch	Round_4_Replicate_88	-6515.83	13039.66	12321.77	92093.17	23.6734,0.0779,17.6237,0.0931
three_epoch	Round_4_Replicate_89	-8221.03	16450.06	15446.97	178227.97	6.5924,0.0881,14.4736,0.0979
three_epoch	Round_4_Replicate_90	-6177.48	12362.96	11698.65	93000.35	28.0548,0.0666,26.7293,0.1008
three_epoch	Round_4_Replicate_91	-6324.68	12657.36	11969.94	78355.94	17.7763,0.0786,27.1533,0.0882
three_epoch	Round_4_Replicate_92	-5355.97	10719.94	10181.63	86790.64	23.7254,0.0131,22.6535,0.0166
three_epoch	Round_4_Replicate_93	-6839.04	13686.08	12915.67	73052.99	27.9764,0.1263,26.0083,0.1599
three_epoch	Round_4_Replicate_94	-5468.77	10945.54	10390.44	87245.53	22.1425,0.0241,29.366,0.0331
three_epoch	Round_4_Replicate_95	-6214.09	12436.18	11766.33	123684.09	13.3342,0.0424,13.3867,0.0468
three_epoch	Round_4_Replicate_96	-5636.51	11281.02	10700.5	73279.03	27.7293,0.0384,27.908,0.0494
three_epoch	Round_4_Replicate_97	-7512.34	15032.68	14152.39	128239.78	13.5466,0.0854,10.3386,0.0873
three_epoch	Round_4_Replicate_98	-6382.68	12773.36	12076.66	68908.66	23.5962,0.0967,29.3347,0.1145
three_epoch	Round_4_Replicate_99	-5540.57	11089.14	10523.31	197238.76	13.2127,0.0142,29.9058,0.0265
three_epoch	Round_4_Replicate_100	-5927.17	11862.34	11237.19	71150.48	25.6498,0.0618,29.493,0.0775
