Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_4_Replicate_27	-44267.27	88550.54	106928.71	5502.88	1.4038,3.8231,17.4383,0.6879,1.2552,0.3621,26.7869,0.0874
anc_asym_mig_size	Round_4_Replicate_28	-48536.14	97088.28	567360.52	3145.6	4.0966,5.2977,26.1167,0.9798,1.5364,0.742,26.7369,0.0825
anc_asym_mig_size	Round_4_Replicate_29	-47406.83	94829.66	461175.38	3134.34	4.284,5.0772,23.964,1.0142,1.2551,0.7079,25.8343,0.0832
anc_asym_mig_size	Round_4_Replicate_30	-40159.31	80334.62	131244.94	5218.11	1.738,3.8899,17.5579,0.5434,1.7338,0.4744,28.0803,0.0689
anc_asym_mig_size	Round_4_Replicate_31	-45508.19	91032.38	420608.34	2889.1	3.8614,6.6394,16.0397,0.9126,1.5574,0.5803,27.9578,0.0897
anc_asym_mig_size	Round_4_Replicate_32	-50859.07	101734.14	296352.01	5594.61	3.2089,3.1881,12.2087,0.5525,2.2547,0.3982,19.1855,0.0654
anc_asym_mig_size	Round_4_Replicate_33	-44307.65	88631.3	120415.49	4023.3	2.1286,4.9858,20.751,1.0037,0.8263,0.3712,27.8085,0.0841
anc_asym_mig_size	Round_4_Replicate_34	-40576.02	81168.04	150826.44	5750.84	2.1498,3.0639,12.1874,0.3601,1.5242,0.4881,27.1986,0.0354
anc_asym_mig_size	Round_4_Replicate_35	-45677.93	91371.86	144309.35	5848.98	1.4474,3.341,15.4896,1.0377,1.9334,0.5004,19.8646,0.1138
anc_asym_mig_size	Round_4_Replicate_36	-40166.69	80349.38	142124.53	2688.82	2.0009,10.3431,20.5874,0.98,1.7118,0.1953,28.1666,0.1382
anc_asym_mig_size	Round_4_Replicate_37	-53484.89	106985.78	185571.01	3638.12	1.7072,9.6578,29.9806,0.6815,0.8849,0.6299,29.6261,0.0567
anc_asym_mig_size	Round_4_Replicate_38	-49903.66	99823.32	472250.69	4107.1	3.5216,4.2917,26.4805,0.8289,2.0544,0.5148,28.1103,0.0776
anc_asym_mig_size	Round_4_Replicate_39	-39738.43	79492.86	217141.08	3095.37	2.1731,8.4494,19.0626,0.475,2.3573,0.4855,22.7284,0.0689
anc_asym_mig_size	Round_4_Replicate_40	-53112.74	106241.48	824416.16	5363.34	1.9215,3.4314,25.9732,1.29,2.5603,0.7553,27.0393,0.0472
