Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_2_Replicate_18	-79195.73	158395.46	145000.4	438441.95	0.419,0.3411
two_epoch	Round_2_Replicate_19	-43702.7	87409.4	79255.18	669035.53	0.1776,0.1773
two_epoch	Round_2_Replicate_20	-77729.81	155463.62	142164.83	500875.27	0.3637,0.3696
two_epoch	Round_2_Replicate_21	-50746.55	101497.1	92162.1	498454.68	0.2613,0.1794
two_epoch	Round_2_Replicate_22	-99798.2	199600.4	184799.24	449138.32	0.4811,0.5878
two_epoch	Round_2_Replicate_23	-144540.57	289085.14	276369.75	261126.48	1.0753,0.1365
two_epoch	Round_2_Replicate_24	-81425.42	162854.84	149165.95	660796.64	0.2854,0.4245
two_epoch	Round_2_Replicate_25	-142744.77	285493.54	272420.02	263009.22	1.0869,0.0604
two_epoch	Round_2_Replicate_26	-67877.27	135758.54	123648.21	517399.26	0.3194,0.2978
two_epoch	Round_2_Replicate_27	-129834.62	259673.24	245889.01	278841.21	0.9143,0.4482
