Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_2_Replicate_11	-614585.05	1229180.1	1926598.78	127266.5	2.4851,1.4733,3.0711,1.0466,0.3637
schange	Round_2_Replicate_12	-408228.29	816466.58	899199.53	183674.24	2.8357,0.1759,0.9426,1.0205,0.1874
schange	Round_2_Replicate_13	-925216.6	1850443.2	5663967.49	172813.85	0.271,1.9455,1.6314,0.3125,0.7147
schange	Round_2_Replicate_14	-385073.75	770157.5	841988.68	213062.13	0.4359,0.2287,3.0653,0.15,0.1171
schange	Round_2_Replicate_15	-1230579.16	2461168.32	8500498.36	132207.68	1.6685,0.2199,4.3759,0.2492,0.5013
schange	Round_2_Replicate_16	-479659.91	959329.82	994658.1	154016.07	0.436,2.1446,5.9718,0.3692,0.2935
schange	Round_2_Replicate_17	-943332.35	1886674.7	5854283.67	132368.5	0.3951,1.5731,1.9005,0.8225,0.9435
schange	Round_2_Replicate_18	-476798.49	953606.98	1939445.2	197198.98	0.3394,0.3878,6.1494,0.4257,0.1064
schange	Round_2_Replicate_19	-503647.12	1007304.24	1153572.24	168472.7	0.6056,0.2091,5.0283,1.3019,0.1841
schange	Round_2_Replicate_20	-426323.97	852657.94	1311504.06	172325.75	1.3954,2.0949,1.3479,0.4686,0.2267
schange	Round_2_Replicate_21	-673281.82	1346573.64	2291254.46	155537.29	0.2887,0.5607,3.9863,0.5433,0.4568
schange	Round_2_Replicate_22	-443078.54	886167.08	969176.7	170790.83	0.3779,0.5362,2.8881,0.6541,0.2948
schange	Round_2_Replicate_23	-556910.35	1113830.7	1345658.38	129702.15	1.0174,1.9417,3.3161,1.0584,0.4045
schange	Round_2_Replicate_24	-401526.94	803063.88	836085.91	181309.56	0.2707,1.5468,1.8365,0.5678,0.2861
schange	Round_2_Replicate_25	-563689.2	1127388.4	2042816.25	218702.2	1.9884,0.366,0.5759,0.1751,0.319
schange	Round_2_Replicate_26	-461345.77	922701.54	1061607.47	171809.48	0.3159,1.3508,7.4602,0.3737,0.1982
schange	Round_2_Replicate_27	-431860.31	863730.62	957838.67	182182.28	1.2683,0.1944,1.6586,0.599,0.2036
schange	Round_2_Replicate_28	-469466.01	938942.02	1522988.66	183790.2	0.4558,2.183,1.2107,0.9322,0.1865
schange	Round_2_Replicate_29	-2104530.58	4209071.16	73342174.62	142499.4	1.5749,0.2428,2.0969,0.1749,0.8475
schange	Round_2_Replicate_30	-258650.31	517310.62	523155.61	212894.65	1.098,0.7562,0.5916,0.3334,0.2127
schange	Round_3_Replicate_1	-270426.49	540862.98	588863.37	214024.44	1.3123,2.7737,0.3746,0.3232,0.3006
schange	Round_3_Replicate_2	-446219.16	892448.32	993502.76	166930.0	1.1988,0.7497,2.3305,0.2938,0.2778
schange	Round_3_Replicate_3	-378456.35	756922.7	889521.44	183403.11	2.6556,0.5549,0.9025,0.324,0.279
schange	Round_3_Replicate_4	-376226.04	752462.08	741405.53	185488.87	0.4432,0.4846,1.4331,1.1329,0.2227
schange	Round_3_Replicate_5	-208721.67	417453.34	392442.25	246823.56	0.4939,0.3842,0.4054,0.3402,0.1311
schange	Round_3_Replicate_6	-458083.34	916176.68	1064571.04	163028.12	3.1666,0.3921,1.3761,0.8744,0.2391
schange	Round_3_Replicate_7	-161567.75	323145.5	315709.01	268428.78	0.8501,0.4576,0.2194,0.1516,0.0983
schange	Round_3_Replicate_8	-263369.49	526748.98	537501.26	218094.05	1.031,2.0076,0.8124,0.113,0.1591
schange	Round_3_Replicate_9	-275360.76	550731.52	594240.58	227392.51	2.1292,0.3634,0.4933,0.1578,0.1179
schange	Round_3_Replicate_10	-159739.78	319489.56	289537.8	284412.26	0.4591,0.4333,0.1632,0.1851,0.0898
schange	Round_3_Replicate_11	-233989.02	467988.04	410588.51	258819.16	0.3787,0.2991,0.2259,0.6842,0.1105
schange	Round_3_Replicate_12	-425316.59	850643.18	935046.62	170519.45	3.9625,1.5189,1.4778,0.1987,0.2197
schange	Round_3_Replicate_13	-351458.73	702927.46	685266.5	190252.91	0.3658,0.9719,1.3889,0.6219,0.2386
schange	Round_3_Replicate_14	-348528.31	697066.62	709327.82	180315.54	1.2158,0.6807,0.8661,0.852,0.2724
schange	Round_3_Replicate_15	-1152575.39	2305160.78	9306663.85	269907.24	0.9747,0.3052,0.248,0.3542,0.6057
