Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_4_Replicate_13	-8468.07	16940.14	16604.6	448714.79	0.0761,0.01
two_epoch	Round_4_Replicate_14	-8469.76	16943.52	16607.12	448617.24	0.0762,0.01
two_epoch	Round_4_Replicate_15	-8466.32	16936.64	16605.76	449289.1	0.0756,0.01
two_epoch	Round_4_Replicate_16	-8464.23	16932.46	16590.78	447948.86	0.0765,0.01
two_epoch	Round_4_Replicate_17	-8522.36	17048.72	16675.25	444831.98	0.0793,0.0101
two_epoch	Round_4_Replicate_18	-8463.77	16931.54	16597.93	448932.02	0.0758,0.01
two_epoch	Round_4_Replicate_19	-8464.05	16932.1	16595.25	448529.48	0.0761,0.01
two_epoch	Round_4_Replicate_20	-8464.72	16933.44	16589.83	447723.3	0.0767,0.01
two_epoch	Round_4_Replicate_21	-8494.16	16992.32	16672.07	450876.8	0.075,0.0101
two_epoch	Round_4_Replicate_22	-8470.54	16945.08	16604.22	448081.92	0.0766,0.01
two_epoch	Round_4_Replicate_23	-8466.12	16936.24	16598.34	448411.79	0.0763,0.01
two_epoch	Round_4_Replicate_24	-8471.04	16946.08	16603.16	447840.64	0.0768,0.01
two_epoch	Round_4_Replicate_25	-8472.59	16949.18	16617.6	449235.23	0.0758,0.01
two_epoch	Round_4_Replicate_26	-8464.71	16933.42	16591.76	447951.39	0.0765,0.01
two_epoch	Round_4_Replicate_27	-8474.07	16952.14	16619.54	449116.54	0.076,0.01
