Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_4_Replicate_23	-37310.63	74637.26	109302.12	35731.68	0.5411,1.7297,0.2795,0.4573,8.734,0.7663,7.3348,1.1037
asym_mig_size	Round_4_Replicate_24	-39578.27	79172.54	103057.59	32901.27	0.2049,1.0677,0.358,0.4645,6.2709,0.6502,5.9512,0.7923
asym_mig_size	Round_4_Replicate_25	-42158.26	84332.52	124814.75	51439.45	0.1766,1.4108,0.2323,0.3392,10.6241,0.9814,6.2741,1.1815
asym_mig_size	Round_4_Replicate_26	-42933.67	85883.34	109365.19	28086.39	0.2847,1.0103,0.381,0.6606,5.3259,0.4194,3.0546,0.9591
asym_mig_size	Round_4_Replicate_27	-35198.03	70412.06	136606.28	23198.17	0.2567,1.703,0.2864,0.6077,8.5958,1.3931,12.8612,0.625
asym_mig_size	Round_4_Replicate_28	-42931.78	85879.56	105698.65	55403.84	0.488,2.6941,0.1951,0.3145,9.4696,1.0847,9.4267,1.5262
asym_mig_size	Round_4_Replicate_29	-41505.93	83027.86	120425.71	31790.94	0.4581,1.1361,0.3193,0.5985,7.2979,0.5334,8.0217,1.1653
asym_mig_size	Round_4_Replicate_30	-43956.04	87928.08	124206.07	53573.29	0.4064,0.9018,0.1743,0.3793,11.8103,1.3738,10.0693,1.4974
asym_mig_size	Round_4_Replicate_31	-39672.48	79360.96	111347.27	49943.01	0.625,0.916,0.1866,0.3778,12.359,0.6594,5.0072,0.7419
asym_mig_size	Round_4_Replicate_32	-42594.51	85205.02	117574.67	45537.85	0.3103,0.872,0.2378,0.4238,9.786,0.4403,3.3768,0.8913
asym_mig_size	Round_4_Replicate_33	-41281.49	82578.98	243995.55	38027.42	0.296,2.6366,0.3901,0.3738,11.3349,0.4417,6.0639,0.9601
asym_mig_size	Round_4_Replicate_34	-36638.28	73292.56	123092.53	17535.85	0.3482,2.3511,0.3635,0.8299,5.8972,1.1467,12.6659,0.9665
asym_mig_size	Round_4_Replicate_35	-49184.17	98384.34	123963.25	57681.76	0.524,1.8805,0.2097,0.3165,8.0093,0.8016,3.8542,1.8611
asym_mig_size	Round_4_Replicate_36	-47032.18	94080.36	140329.74	37561.0	0.2735,1.1239,0.4102,0.4281,6.765,0.4644,3.3672,1.1561
asym_mig_size	Round_4_Replicate_37	-42189.76	84395.52	119977.92	31429.83	0.4907,1.6948,0.2821,0.6173,7.3063,0.9246,3.2711,1.8829
asym_mig_size	Round_4_Replicate_38	-50701.39	101418.78	136199.66	58685.49	0.5896,1.3353,0.2339,0.3262,9.2845,0.3811,6.8736,1.6868
asym_mig_size	Round_4_Replicate_39	-43548.89	87113.78	123466.41	38954.25	0.2693,0.9327,0.1892,0.5216,10.0126,1.4532,8.7675,1.2279
asym_mig_size	Round_4_Replicate_40	-36120.61	72257.22	109096.92	21241.38	0.6061,2.2072,0.468,0.6149,4.4244,1.4967,9.1804,1.5899
